IntName,Name,Epithet,HP,Atk,Spd,Def,Res,Movement,Weapon Type,Game,Secondary Game,HP Grow,Atk Grow,Spd Grow,Def Grow,Res Grow,DFlowerLimit,BVID,HeroType,HasResp,RefreshType,BaseWeapon,BaseAssist,BaseSpecial,BaseA,BaseB,BaseC,BaseX
Elimine,Elimine,Scouring Saint,36,34,40,16,41,2,Staff,6,-1,45,55,70,30,75,20,133,MYTHIC,FALSE,0,Staff of the Saint,Nudge+,,Atk/Res Push 4,A/S Far Trace 3,Holy Ground,
A!Elincia,Elincia,Devoted Queen,38,44,45,18,28,2,Staff,10,-1,50,75,70,35,55,15,186,ASC,FALSE,0,Crimean Scepter,Rescue+,Light's Restraint,Atk/Spd Push 4,Dazzling Shift,Spd/Res Hold,
SF!Elincia,Elincia,Estival Princess,34,29,35,20,21,0,GDagger,10,-1,45,55,65,35,40,35,250,,FALSE,0,Cloud Maiougi+,Dance,,Atk/Spd Push 3,Rockslide Dance 2,Drive Res 2,
Elincia,Elincia,Lost Princess,35,34,36,24,27,2,Sword,9,-1,45,60,60,45,45,30,126,HERO,TRUE,0,Amiti,Ardent Sacrifice,,Death Blow 3,Flier Formation 3,,
SU!Elincia,Elincia,Seaside Queen,38,36,40,25,33,2,BBow,10,-1,50,65,70,45,55,20,242,HERO,FALSE,0,Whitecap Bow+,Draw Back,,Atk/Spd Bond 3,Atk/Spd Link 3,,
L!Elincia,Elincia,Undaunted Queen,40,45,47,23,34,2,Sword,10,-1,50,80,90,40,50,10,218,LEGEND,FALSE,0,Absolute Amiti,,Dragon Fang,Atk/Spd Clash 4,Aerial Maneuvers,Heart of Crimera,
HS!Elise,Elise,Bubbling Flower,34,33,37,18,22,1,RDagger,14,-1,45,60,60,35,35,30,156,HERO,FALSE,0,Red-Hot Ducks+,Rally Up Atk+,,Swift Sparrow 2,Atk Feint 3,Dagger Valor 3,
Elise,Elise,Budding Flower,30,32,32,19,32,1,Staff,14,-1,35,55,55,35,55,30,234,HERO,TRUE,0,Elise's Staff,Recover+,Kindled-Fire Balm,,Live to Serve 3,,
V!Elise,Elise,Sweetheart Royals,37,43,46,16,27,1,Staff,14,-1,50,70,75,30,55,15,186,DUO,FALSE,0,Dusk-Dawn Staff,Return+,Holy Pressure,Atk/Spd Catch 4,Poetic Justice,Odd Recovery 3,
SU!Elise,Elise,Tropical Flower,34,36,34,18,25,0,GTome,14,-1,40,60,60,35,45,35,30,HERO,FALSE,0,Hibiscus Tome+,Rally Atk/Res+,,Spd/Res 2,,G Tome Valor 3,
L!Eliwood,Eliwood,Blazing Knight,37,36,34,33,16,1,Sword,7,-1,45,70,55,55,30,30,192,LEGEND,FALSE,0,Ardent Durandal,Rally Spd/Res+,,Death Blow 4,Flow Refresh 3,Vision of Arcadia II,
V!Eliwood,Eliwood,Devoted Love,47,38,32,29,29,3,Lance,7,-1,55,65,55,50,50,30,26,HERO,FALSE,0,Casa Blanca+,Rally Atk/Def,,Fire Boost 3,,Goad Armor,
Eliwood,Eliwood,Knight of Lycia,39,31,30,23,32,1,Sword,7,-1,50,55,50,40,55,30,100,HERO,TRUE,0,Durandal,,Sacred Cowl,,Axebreaker 3,Ward Cavalry,
B!Eliwood,Eliwood,Marquess Pherae,40,37,35,32,18,1,Lance,7,-1,50,65,60,60,30,30,132,HERO,FALSE,0,Nini's Ice Lance,Rally Atk/Def+,,Swift Sparrow 3,Atk/Spd Ruse 3,Spd Opening 3,
CH!Eliwood,Eliwood,Pledged Friend,39,45,46,29,20,1,Sword,7,-1,50,70,75,60,40,15,241,HERO,FALSE,0,Fiery War Sword,,Luna,Spd/Def Clash 4,S/D Near Trace 3,Inborn Idealism,
NY!Elm,Elm,Resolute Grouch,41,40,45,27,31,2,GBeast,0,-1,50,70,75,50,55,15,85,HERO,FALSE,0,Fang of Finality,,Luna,,Beast N Trace 3,C Feud 3,
Embla,Embla,God of Closure,41,43,44,31,24,2,RBeast,0,-1,50,70,75,60,45,15,38,MYTHIC,FALSE,0,Enclosing Claw,,Draconic Aura,Atk/Spd Clash 4,Beast Agility 3,Severance,
BR!Embla,Embla,Closed-Off Bride,40,45,47,35,22,2,CBeast,0,-1,50,80,90,55,35,10,108,HERO,FALSE,0,Closing Florets,,Dragon Fang,Atk/Spd Wild,Beast Assault 4,Absolute Closure,
Emmeryn,Emmeryn,Gentle Exalt,43,32,34,23,30,0,Staff,13,-1,55,60,60,40,50,30,157,HERO,FALSE,0,Fear+,Rehabilitate+,Miracle,,Wings of Mercy 3,Res Opening 3,
CH!Emmeryn,Emmeryn,Selfless Exalt,40,47,25,23,47,0,Staff,13,-1,50,90,45,40,75,10,106,HERO,FALSE,0,Exalt's War Staff,Magic Shield+,Light's Restraint,,Poetic Justice,Atk/Res Oath 4,
H!Ena,Ena,Autumn Tactician,44,36,23,37,36,0,RDragon,10,-1,55,60,45,65,60,25,138,HERO,FALSE,0,Pale Breath+,Swap,,,Def/Res Link 3,Ward Dragons,
P!Ephraim,Ephraim,Dynastic Duo,41,39,30,37,25,0,Lance,8,-1,50,70,50,65,45,30,182,DUO,FALSE,0,Reginleif,,Draconic Aura,Heavy Blade 4,Lull Atk/Def 3,Odd Atk Wave 3,
L!Ephraim,Ephraim,Legendary Lord,43,36,27,33,18,1,Lance,8,-1,55,60,50,55,35,30,66,LEGEND,FALSE,0,Flame Siegmund,,Sol,Atk/Def Solo 3,Solar Brace II,Fortify Def 3,
Ephraim,Ephraim,Restoration Lord,45,35,25,32,20,0,Lance,8,-1,60,60,45,55,35,35,230,HERO,TRUE,0,Siegmund,,Moonbow,,Seal Def 3,Threaten Def 3,
B!Ephraim,Ephraim,Sacred Twin Lord,46,38,27,37,26,3,BBow,8,-1,55,65,50,60,45,30,6,HERO,TRUE,0,Garm,,Draconic Aura,Close Def 3,Special Fighter 3,Armor March 3,
WI!Ephraim,Ephraim,Sparkling Gallantly,45,41,23,36,29,3,Lance,8,-1,55,70,40,60,50,30,255,HERO,FALSE,0,Festive Siegmund,,Dragon Fang,Atk/Def Solo 3,Bold Fighter 3,Close Guard 3,
SU!Ephraim,Ephraim,Sunshine Valiant,41,47,16,44,31,1,Axe,8,-1,55,70,30,80,60,15,26,HERO,FALSE,0,Seafoam Splitter,,Bonfire,Atk/Def Clash 4,Sunlight Bangle,Alarm Atk/Def,
V!Ephraim,Ephraim,Ardent Prince,47,48,17,48,41,3,Lance,8,-1,60,90,30,75,70,10,156,HERO,FALSE,0,Righteous Lance,,Armored Blaze,Earthfire Boost 3,Sunlit Bangle D,A/D Near Save 3,
Eremiya,Eremiya,Bishop of Woe,44,32,35,23,27,0,RTome,1,-1,60,60,60,40,45,30,247,HERO,FALSE,0,Panic+,Physic+,Miracle,Atk/Res Push 3,,Distant Guard 3,
Erinys,Erinys,Earnest Knight,39,37,41,32,23,2,Lance,4,-1,50,70,70,50,40,25,0,HERO,FALSE,0,Silesse Frost,Harsh Command+,,B Duel Flying 4,Chill Atk/Spd 2,Atk/Def Rein 3,
Erk,Erk,Studious Mage,45,35,39,19,27,0,RTome,7,-1,60,65,70,30,45,25,226,HERO,FALSE,0,Rauðrfox+,,Moonbow,Spd/Res Solo 3,,Spd Opening 3,
Est,Est,Junior Whitewing,36,35,30,24,32,2,Lance,1,-1,45,60,50,45,55,30,137,HERO,TRUE,0,Whitewing Spear,Shove,,Defiant Res 3,Seal Spd 3,,
SP!Est,Est,Springtime Flier,39,38,35,17,26,2,BTome,1,-1,50,70,60,30,45,30,27,HERO,FALSE,0,Eagle's Egg,,Moonbow,Fury 4,Chill Atk/Res 2,Hone Fliers,
P!Est,Est,Sweet Baby Sis,35,41,38,25,37,2,Lance,15,-1,45,70,70,40,65,20,252,HERO,FALSE,0,Tri-Edge Lance,,Iceberg,Atk/Res Push 4,Flow Feather 3,,
DA!Ethlyn,Ethlyn,Glimmering Lady,37,36,41,16,28,2,CDagger,4,-1,50,65,75,30,50,25,203,HERO,FALSE,0,Courtly Fan+,Dance,,AR-D Atk/Spd 3,Windsweep 3,Joint Drive Spd,
Ethlyn,Ethlyn,Spirited Princess,38,28,34,26,20,1,Staff,4,-1,50,50,55,50,30,30,158,HERO,FALSE,0,Fear+,Physic+,Heavenly Light,Spd/Def Bond 3,Live to Serve 3,,
Etie,Etie,Fitness Fighter,40,45,40,30,28,0,CBow,17,-1,50,75,70,55,50,15,21,HERO,FALSE,0,Protection Bow+,,Draconic Aura,Atk/Def Ideal 3,,Atk/Def Gap 3,
Ewan,Ewan,Eager Student,38,37,33,23,35,0,RTome,8,-1,50,70,60,45,70,30,219,HERO,FALSE,0,Pupil's Tome,,Glacies,Swift Stance 2,Sabotage Spd 3,,
Eyvel,Eyvel,Mistress of Fiana,41,33,35,38,25,0,Sword,5,-1,55,55,55,70,45,30,138,HERO,FALSE,0,Freeblade's Edge,,Ignis,Atk/Def Form 3,Chill Atk 3,,
L!Fae,Fae,Childlike Dragon,40,42,28,37,41,0,BDragon,6,-1,55,75,50,70,75,20,178,LEGEND,FALSE,0,Dazzling Breath,,Life Unending II,Distant Stance,Dragon's Scales,Def/Res Menace,
Fae,Fae,Divine Dragon,46,33,28,25,30,0,GDragon,6,-1,70,65,55,45,50,35,214,HERO,TRUE,0,Eternal Breath,Draw Back,,,Renewal 3,Threaten Atk 3,
WI!Fae,Fae,Holiday Dear,45,35,26,33,41,3,GDragon,6,-1,65,60,50,55,75,30,47,HERO,FALSE,0,Glittering Breath+,,Luna,Def/Res Bond 3,Vengeful Fighter 3,Armor March 3,
NY!Fáfnir,Fáfnir,Fresh Ambition,40,43,39,31,16,1,RDagger,0,-1,50,75,70,55,30,20,223,HERO,FALSE,0,Niðavellir Sprig,,Glimmer,Atk/Spd Solo 4,Disarm Trap 3,Rouse Atk/Def 4,
Fargus,Fargus,Badon Buccaneer,43,47,31,40,32,0,Axe,7,-1,55,90,50,70,50,10,119,HERO,FALSE,0,Corsair Cleaver,,Dragon Fang,Atk/Def Ideal 3,,Infantry Pulse 3,
Farina,Farina,The Great Wing,39,36,38,30,30,2,Lance,7,-1,50,60,65,50,55,25,138,HERO,FALSE,0,Hotshot Lance,Reposition,,Atk/Spd Catch 4,Atk/Spd Snag 3,Atk/Def Rein 3,
Faye,Faye,Devoted Heart,42,30,25,26,31,0,CBow,15,-1,60,55,50,50,55,35,128,HERO,TRUE,0,Bow of Devotion,,Noontime,,Wings of Mercy 3,Bow Exp. 3,
V!Faye,Faye,Drawn Heartstring,43,40,23,35,38,3,CBow,15,-1,55,75,45,65,70,30,182,HERO,FALSE,0,Budding Bow+,,Moonbow,Death Blow 4,Bold Fighter 3,Armor March 3,
Febail,Febail,Mercenary Waif,40,46,45,26,31,0,BBow,4,-1,50,80,70,50,60,10,145,HERO,FALSE,0,Heired Yewfelle,,Luna,Spd/Res Hexblade,Phys. Null Follow,,
Fee,Fee,Aspiring Knight,37,40,45,26,40,2,Sword,4,-1,50,70,70,45,75,10,212,HERO,FALSE,0,Protection Edge+,Reposition,,,Aerobatics 3,Drive Spd 2,
Felicia,Felicia,Maid Mayhem,34,23,37,18,35,0,CDagger,14,-1,45,40,60,35,60,35,31,HERO,FALSE,0,Felicia's Plate,,Glacies,Resistance +3,,Breath of Life 3,
SP!Felicia,Felicia,Off the Menu,43,30,37,30,35,3,Axe,14,-1,50,50,60,50,65,30,40,HERO,FALSE,0,"Eldhrímnir	",,Glacies,Spd/Def Bond 3,Special Fighter 3,Close Guard 3,
FF!Felicia,Felicia,Confidently Cold,41,43,47,35,24,1,Axe,14,-1,50,80,90,55,40,5,-1,HERO,FALSE,0,Ice-Tribe Axe,,Luna,Atk/Spd Excel,S/R Near Trace 4,Odd Spd Wave 4,
Felix,Felix,Lone-Wolf Blade,40,46,46,31,25,0,Sword,16,-1,50,80,70,55,50,15,110,HERO,FALSE,0,Lone-Wolf Blade,,Godlike Reflexes,Atk/Spd Finish 4,Atk/Spd Bulwark 3,Spd Smoke 4,
WI!Felix,Felix,Icy Gift Giver,44,38,37,32,29,3,BBow,16,-1,55,65,65,55,50,25,71,HERO,FALSE,0,Reindeer Bow+,,Glimmer,Swift Sparrow 2,Dull Ranged 3,,
B!Felix,Felix,Sword Savant,40,47,48,35,29,0,Sword,16,-1,50,75,90,60,50,5,-1,HERO,FALSE,0,New Levin Sword,,Gust,Atk/Spd Excel,Lone Wolf,Endless Tempest,
Ferdinand,Ferdinand,Noblest of Nobles,41,32,35,30,24,1,Lance,16,-1,50,55,60,55,45,30,246,HERO,FALSE,0,Stoutheart Lance,Reposition,,Fortress Def 3,,Rouse Spd/Def 3,
T!Ferdinand,Ferdinand,Highborn Sipper,40,42,45,21,25,2,GTome,16,-1,50,70,75,40,50,15,203,HERO,FALSE,0,Teatime Set+,Rally Spd/Res+,,,Windsweep 3,Spd/Res Rein 3,
Fernand,Fernand,Traitorous Knight,45,41,26,32,23,1,Lance,15,-1,60,70,45,55,45,25,132,HERO,FALSE,0,Instant Lance+,,Blazing Thunder,,Swordbreaker 3,Threat. Atk/Def 2,
Finn,Finn,Lance of Legend,40,34,33,32,18,1,Lance,5,-1,50,60,55,55,35,30,203,HERO,FALSE,0,Loyalty Spear,,,Attack/Def +2,,Goad Cavalry,
Fiora,Fiora,Airborne Warrior,38,32,38,21,37,2,Lance,7,-1,45,55,65,35,70,30,167,HERO,FALSE,0,Airborne Spear,,Iceberg,Fury 3,Pegasus Flight 3,,
SU!Fiora,Fiora,Defrosted Ilian,40,32,37,26,28,2,Sword,7,-1,50,55,60,50,50,30,219,HERO,FALSE,0,Petal Parasol+,Swap,,,Spd/Res Link 3,Atk Smoke 3,
SP!Fir,Fir,Student of Spring,39,35,41,28,24,2,Axe,6,-1,50,60,70,50,40,30,85,HERO,FALSE,0,Bun-Bun Baton,Harsh Command+,,Atk/Spd Solo 3,,Air Orders 3,
Fir,Fir,Sword Student,41,25,36,24,31,0,Sword,6,-1,50,45,60,45,55,30,195,HERO,TRUE,0,Nameless Blade,Glacies,,Speed +3,Pass 3,,
A!Fir,Fir,Swordmaiden,42,44,46,34,21,0,Sword,6,-1,55,75,70,65,40,15,63,ASC,FALSE,0,Vassal-Saint Steel,,Glimmer,Atk/Spd Finish 4,Phys. Null Follow,Atk/Spd Oath 4,
BR!Fjorm,Fjorm,Bride of Rime,42,34,34,17,23,2,Staff,0,-1,55,60,55,30,45,30,61,HERO,FALSE,0,"Gjallarbrú	",Restore+,,HP/Atk 2,Dazzling Staff 3,Ground Orders 3,
A!Fjorm,Fjorm,Ice Ascendant,43,39,41,31,36,3,Axe,0,-1,55,70,70,50,60,20,51,ASC,FALSE,0,Nifl's Bite,,Ice Mirror,Steady Posture 3,Hardy Fighter,A/R Far Save 3,
NY!Fjorm,Fjorm,New Traditions,39,35,35,20,21,2,GBow,0,-1,50,60,60,35,40,30,13,HERO,FALSE,0,Kabura Ya+,Reposition,,Atk/Spd Bond 3,Atk/Spd Link 3,Even Res Wave 3,
Fjorm,Fjorm,Princess of Ice,39,30,31,30,34,0,Lance,0,-1,50,50,55,50,60,35,139,LEGEND,FALSE,0,Leiptr,,Ice Mirror II,Mirror Stance 3,Shield Pulse 3,Drive Atk 2,
SU!Fjorm,Fjorm,Seaside Thaw,43,43,46,28,28,0,Sword,0,-1,55,75,70,55,50,15,63,HERO,FALSE,0,Ice-Bound Brand,,Frostbite Mirror,Atk/Spd Finish 4,Spurn 4,Time's Pulse 4,
FF!Fjorm,Fjorm,Gleaming Ice Pair,43,42,47,35,40,3,Lance,0,-1,50,70,90,50,75,5,-1,DUO,FALSE,0,Ice-Crystal Spear,,Dual Ice Mirrors,Deluge Boost 3,Shield Fighter,A/S Far Save 3,
Flame Emperor,Flame Emperor,Bringer of War,50,40,25,37,26,3,Axe,16,-1,70,65,45,60,45,30,11,HERO,FALSE,0,Flame Battleaxe,,Ignis,Warding Stance 2,Wary Fighter 3,,
BR!Flavia,Flavia,Bold Bride,41,44,45,31,18,1,Sword,13,-1,50,80,70,60,35,15,201,HERO,FALSE,0,Bridal Blade+,Harsh Command+,,Atk/Def Clash 3,,Rouse Atk/Spd 3,
Flavia,Flavia,Feroxi East-Khan,41,40,41,36,23,0,Sword,13,-1,50,70,70,65,40,20,87,HERO,FALSE,0,Lioness Blade,,Draconic Aura,Atk/Spd Push 4,,Red Feud 3,
Flayn,Flayn,Playing Innocent,40,39,27,21,35,2,Staff,16,-1,50,65,50,40,60,25,20,HERO,FALSE,0,Caduceus Staff,Rescue+,Deluge Balm+,,Dazzling Staff 3,Ground Orders 3,
H!Flayn,Flayn,Silly Kitty-Cat,38,46,26,18,46,1,Staff,16,-1,50,85,50,35,70,10,208,HERO,FALSE,0,Kitty-Cat Parasol,Rescue+,Holy Pressure,Atk/Res Unity,Dazzle Far Trace,,
Flora,Flora,Cold as Ice,38,34,23,18,38,0,RDagger,14,-1,50,60,40,30,65,35,7,HERO,FALSE,0,Hoarfrost Knife,,Iceberg,Atk/Spd Solo 3,Quick Riposte 3,Def Ploy 3,
SP!Flora,Flora,Signature Dish,43,38,22,29,38,3,RDagger,14,-1,55,60,40,50,65,30,208,HERO,FALSE,0,Sæhrímnir,,Iceberg,AR-D Atk/Res 3,Bold Fighter 3,Armor March 3,
FF!Flora,Flora,Polar-Perfect,40,47,21,31,46,1,CDagger,14,-1,50,90,40,50,80,5,-1,HERO,FALSE,0,Ice Dagger+,,Glacies,Atk/Res Catch 3,Disarm Trap 3,,
A!Florina,Florina,Azure-Sky Knight,39,37,43,22,31,2,CBow,7,-1,50,65,70,45,55,20,14,ASC,FALSE,0,New-Height Bow,,Moonbow,Atk/Spd Push 4,S/D Far Trace 3,Joint Drive Spd,
Florina,Florina,Lovely Flier,42,29,27,25,34,2,Lance,7,-1,55,50,45,45,60,30,210,HERO,TRUE,0,Florina's Lance,Ardent Sacrifice,,Darting Blow 3,,Breath of Life 3,
Fogado,Fogado,Affable Prince,38,45,47,25,30,1,GBow,17,-1,50,75,90,45,50,5,-1,HERO,FALSE,0,Sentinel Bow,,Luna,Flared Sparrow,S/D Far Trace 4,,
Fomortiis,Fomortiis,Demon King,46,44,15,46,44,3,CBeast,8,-1,55,70,25,85,80,15,74,MYTHIC,FALSE,0,Ravager,,Bonfire,Nightmare,Beast Follow-Up 3,A/D Far Save 3,
WI!Fomortiis,Fomortiis,Dark of Night,49,47,16,49,46,3,RBeast,8,-1,60,80,30,90,75,5,-1,HERO,FALSE,0,Icy Ravager,,Aegis,Leaden Regrets,Shield Fighter,A/D Briar F Save,
Forde,Forde,Unfettered Knight,40,45,45,37,18,1,Sword,8,-1,-1,-1,-1,-1,-1,10,-1,HERO,FALSE,0,Wild Wind Sword,,Luna,Spd/Def Unity,S/D Near Trace 4,,
Forrest,Forrest,Fashion Forward,39,32,26,19,35,1,Staff,14,-1,50,60,45,35,60,30,180,HERO,FALSE,0,Panic+,Physic+,Heavenly Light,Fortress Res 3,,Res Ploy 3,
Forsyth,Forsyth,Loyal Lieutenant,47,40,20,39,33,3,Lance,15,-1,55,70,35,65,60,30,130,HERO,FALSE,0,Sol Lance,,Bonfire,Def/Res Bond 3,Bold Fighter 3,Joint Hone Def,
SP!Framme,Framme,Spring Fangirl,45,41,46,30,31,0,Axe,17,-1,60,70,80,50,55,10,227,HERO,FALSE,0,Hippity-Hop Axe,,Dragon Fang,Firestorm Boost 3,Spurn 4,Infantry Pulse 4,
SU!Frederick,Frederick,Horizon Watcher,40,32,31,28,18,0,CDagger,13,-1,50,55,55,50,30,30,53,HERO,FALSE,0,Seashell+,Ardent Sacrifice,,Armored Blow 3,Seal Atk/Spd 2,,
Frederick,Frederick,Polite Knight,43,35,25,36,14,1,Axe,13,-1,55,60,45,65,25,30,129,HERO,FALSE,0,Frederick's Axe,,Luna,,Wings of Mercy 3,Fortify Def 3,
CH!Frederick,Frederick,Youth in Service,41,46,28,47,23,1,Axe,13,-1,50,75,50,90,40,10,14,HERO,FALSE,0,Heavy War Axe,,Bonfire,Atk/Def Clash 3,,Close Guard 3,
SU!Freyja,Freyja,Fleeting Summer,40,39,43,25,20,1,CBeast,0,-1,55,70,70,45,35,25,29,HERO,FALSE,0,Brightmare Horn,,Glimmer,Atk/Spd Solo 4,Binding Necklace,Fatal Smoke 3,
Freyja,Freyja,Lady of Nightmare,40,38,44,24,22,1,GBeast,0,-1,55,65,75,45,35,25,213,MYTHIC,FALSE,0,Nightmare Horn,,Luna,Atk/Spd Solo 4,Binding Necklace+,Spd Smoke 4,
SU!Freyr,Freyr,Estival Dreams,41,38,16,38,35,1,RBeast,0,-1,55,60,30,70,60,25,74,HERO,FALSE,0,Dream Horn,,Ignis,Atk/Def Clash 4,Lull Atk/Def 4,Dream Deliverer,
Freyr,Freyr,Dream-King,41,46,16,41,35,1,BBeast,0,-1,55,70,30,75,65,15,2,MYTHIC,FALSE,0,Raydream Horn,,Draconic Aura,Def/Res Catch 4,Lull Atk/Def 3,,
Fuga,Fuga,Force of Gales,42,46,30,45,30,0,Axe,14,-1,55,80,50,70,60,10,38,HERO,FALSE,0,Wind Tribe Club+,,Bonfire,Heavy Blade 3,,Threat. Atk/Def 2,
Gaius,Gaius,Candy Stealer,42,29,36,22,19,0,CDagger,13,-1,55,50,60,40,35,35,82,HERO,TRUE,0,Candied Dagger,Rally Speed,,Defiant Atk 3,Pass 3,,
SU!Gaius,Gaius,Thief Exposed,34,30,37,19,28,0,CBow,13,-1,40,50,65,35,50,35,198,HERO,FALSE,0,Refreshing Bolt+,,Astra,,Vantage,Def Ploy 3,
Galle,Galle,Azure Rider,46,38,22,38,28,2,Lance,6,-1,60,65,40,65,50,25,225,HERO,FALSE,0,Wyvern Lance,,Dragon Fang,Brazen Atk/Def 3,,Odd Atk Wave 3,
Galzus,Galzus,Dark Blade of Od,40,43,41,36,22,0,Sword,5,-1,50,75,70,60,40,20,166,HERO,FALSE,0,Rein Sword+,,Luna,Surge Sparrow,Null Follow-Up 3,,
Ganglöt,Ganglöt,Death Anew,40,44,30,38,35,0,Axe,0,-1,50,70,60,70,55,15,75,REARM,FALSE,0,Arcane Downfall,,Iceberg,Distant Stance,Quick Riposte 4,Joint Dist. Guard,
Gangrel,Gangrel,Plegia's Mad King,45,32,38,24,27,0,CDagger,13,-1,60,60,65,45,45,30,251,HERO,FALSE,0,Levin Dagger,,Glacies,,Chill Atk 3,Panic Ploy 3,
Garon,Garon,King of Nohr,43,33,22,33,32,0,RDragon,14,-1,60,55,40,55,55,35,44,HERO,FALSE,0,Breath of Blight,,Dragon Fang,Distant Def 3,,Panic Ploy 3,
Gatekeeper,Gatekeeper,Nothing to Report,41,37,17,40,36,0,BTome,16,-1,50,65,30,70,65,20,234,HERO,FALSE,0,Charging Horn,Harsh Command+,,Close Reversal,Detailed Report,Joint Drive Def,
Gatrie,Gatrie,Armored Amour,47,42,17,44,35,3,Lance,9,-1,65,65,30,75,60,25,250,HERO,FALSE,0,Mercenary Lance,,Moonbow,Fort. Def/Res 3,Crafty Fighter 3,,
PI!Geese,Geese,A Life at Sea,46,38,35,32,21,0,Lance,6,-1,60,70,60,55,35,30,4,HERO,FALSE,0,Flowing Lance+,Reposition,,Fire Boost 3,,Infantry Pulse 3,
SP!Genny,Genny,Dressed with Care,35,36,24,14,34,1,Staff,15,-1,45,60,45,25,60,30,79,HERO,FALSE,0,Toasty Skewer+,Physic+,Fireflood Balm+,,Wrathful Staff 3,Def Opening 3,
Genny,Genny,Endearing Ally,32,35,25,21,34,0,Staff,15,-1,35,60,45,40,60,35,134,HERO,FALSE,0,Springtime Staff,Physic+,Heavenly Light,,Wrathful Staff 3,,
Geoffrey,Geoffrey,Realm's Protector,40,46,40,29,25,1,Lance,10,-1,50,75,70,50,50,15,192,HERO,FALSE,0,Queenslance,,Luna,,Flow Force 3,Atk/Def Menace,
Gerik,Gerik,Desert Tiger,47,37,36,30,22,0,Axe,8,-1,65,60,60,50,45,30,153,HERO,FALSE,0,Desert-Tiger Axe,,Moonbow,Darting Blow 4,Sudden Panic 3,Infantry Pulse 3,
Gerome,Gerome,Masked Rider,45,38,25,34,19,2,Axe,13,-1,60,65,45,60,35,30,136,HERO,FALSE,0,Maskine Axe,Rally Atk/Def,,Fortress Def 3,Hit and Run,,
Gharnef,Gharnef,Dark Pontifex,38,30,34,27,23,0,RTome,1,-1,50,50,55,50,40,35,234,HERO,FALSE,0,Imhullu,,Ignis,Mirror Stance 2,Chill Atk 3,,
Gilliam,Gilliam,Wall of Silence,47,44,21,48,35,3,Lance,8,-1,60,70,40,80,65,15,186,HERO,FALSE,0,Frelian Lance,,Bonfire,Sturdy Stance 3,Vengeful Fighter 4,A/D Near Save 3,
Ginnungagap,Ginnungagap,Ruler of Nihility,40,47,31,30,32,1,CDagger,0,-1,50,90,50,50,60,10,232,REARM,FALSE,0,Arcane Void,,Lethality,Fireflood Boost 3,Ruler of Nihility,Fatal Smoke 4,
Glen,Glen,Sunstone,-1,-1,-1,-1,-1,-1,Sword,8,-1,-1,-1,-1,-1,-1,4,-1,HERO,FALSE,0,Sunstone's Blade,,Ignis,,Wyvern Flight 3,Flier Guidance 3,
SU!Goldmary,Goldmary,Coy Beach Divas,40,44,46,47,16,0,Lance,17,16,50,70,75,90,30,10,-1,,FALSE,0,Diva-Pair Parasol,,Godlike Reflexes,Atk/Spd Finish 4,Laguz Friend 4,Even Atk Wave N,
Gonzalez,Gonzalez,Kindly Bandit,50,42,35,33,21,0,Axe,6,-1,70,70,60,55,40,20,162,HERO,FALSE,0,Rein Axe+,,Dragon Fang,Atk/Spd Push 3,,Threat. Atk/Spd 2,
Gordin,Gordin,Altean Archer,43,31,25,32,17,0,CBow,1,-1,55,55,45,55,30,35,204,HERO,TRUE,0,Renowned Bow,Shove,,Attack +3,Vantage 3,,
Gotoh,Gotoh,White Sage,40,42,14,38,42,0,CTome,1,-1,50,70,25,70,75,15,252,MYTHIC,FALSE,0,Brilliant Starlight,,Iceberg,Gift of Magic,Guard 4,Joint Dist. Guard,
Gray,Gray,Wry Comrade,43,35,32,30,22,0,Sword,15,-1,60,65,60,55,45,35,224,HERO,FALSE,0,Laid-Back Blade,Swap,,Wind Boost 3,,Sword Valor 3,
Gregor,Gregor,Swell Sword,40,44,37,43,23,0,Sword,13,-1,50,70,60,80,45,15,240,HERO,FALSE,0,Blade of Favors,,Bonfire,Solid Ground 4,,Inf. Null Follow 3,
V!Greil,Greil,Heroic Exemplar,47,41,18,38,30,3,Axe,9,-1,55,70,30,65,55,30,129,HERO,FALSE,0,Faithful Axe+,,Aether,Fury 4,Wary Fighter 3,Armor March 3,
Guinivere,Guinivere,Princess of Bern,36,35,40,16,38,0,BTome,6,-1,45,60,70,30,65,25,20,HERO,FALSE,0,Aureola,,Iceberg,Atk/Res Push 4,Lull Atk/Res 3,Joint Drive Res,
L!Guinivere,Guinivere,Queen of Bern,37,39,45,16,40,0,CTome,6,-1,50,70,75,30,65,15,240,LEGEND,FALSE,0,Radiant Aureola,,Iceberg,Spd/Res Finish 4,Null C-Disrupt 4,Bern's New Way,
Gullveig,Gullveig,Golden Seer,37,45,47,27,18,1,CTome,0,-1,50,70,75,50,35,30,22,MYTHIC,FALSE,0,Golden Sunlight,,Time and Light,Flared Sparrow,S/R Far Trace 4,Odd Spd Wave 4,
B!Gullveig,Gullveig,Seer Beyond Time,40,45,47,27,19,2,BTome,0,-1,55,70,80,55,35,10,74,HERO,FALSE,0,Quietus Gullveig,,Time is Light,Flared Sparrow,Occultist's Strike,Def/Res Smoke 3,
SU!Gullveig,Gullveig,Glittering Sunlight,40,46,47,24,17,1,RTome,0,-1,50,80,90,40,30,10,-1,HERO,FALSE,0,The Cycle's Turn,,Luna,Flared Sparrow,Gold Unwinding,Atk/Spd Oath 4,
