IntName,Name,Might,Range,Description,Type,Effect1,Level1,Effect2,Level2,Effect3,Level3,Effect4,Level4,Effect5,Level5,ExclusiveUser1,ExclusiveUser2,ExclusiveUser3,ExclusiveUser4,NameJP,DescJP,NameDE,DescDE,NameES,DescES,NameLS,DescLS,NameFR,DescFR,NameIT,DescIT,NameTC,DescTC,NamePT,DescPT
SökkvabekkrDef,Sökkvabekkr,16,1,"If unit is within 4 spaces of an ally, grants Atk/Spd/Def/Res+6 to unit and unit makes a guaranteed follow-up attack during combat, but after combat, if unit attacked, deals 20 damage to nearest ally, and also, if unit's Special is ready or unit's Special triggered before or during this combat, deals +5 damage (excluding when dealing damage with an area-of-effect Special), and when unit deals damage to foe, restores 7 HP to unit during combat (triggers even if 0 damage is dealt).",Sword,you're not me,6,HPBoost,5,defBoost,4,,,,,Líf,,,,,,,,,,,,,,,,,,,
SökkvabekkrRes,Sökkvabekkr,16,1,"If unit is within 4 spaces of an ally, grants Atk/Spd/Def/Res+6 to unit and unit makes a guaranteed follow-up attack during combat, but after combat, if unit attacked, deals 20 damage to nearest ally, and also, if unit's Special is ready or unit's Special triggered before or during this combat, deals +5 damage (excluding when dealing damage with an area-of-effect Special), and when unit deals damage to foe, restores 7 HP to unit during combat (triggers even if 0 damage is dealt).",Sword,you're not me,6,HPBoost,5,resBoost,4,,,,,Líf,,,,,,,,,,,,,,,,,,,
Laslow's Blade,Laslow's Blade,16,1,"If a movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by unit or targets unit, grants Atk/Spd/Def/Res+4 to target or targeting ally and allies within 2 spaces of unit and target or targeting ally for 1 turn after movement. (Excludes unit.)",Sword,laslowShmovement,4,,,,,,,,,Laslow,,,,,,,,,,,,,,,,,,,
Laslow's BladeEff,Laslow's Blade,16,1,"If a movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by unit or targets unit, grants Atk/Spd/Def/Res+4 to target or targeting ally and allies within 2 spaces of unit and target or targeting ally for 1 turn after movement. (Excludes unit.)",Sword,laslowShmovement,4,HPBoost,3,laslowBrave,0,,,,,Laslow,,,,,,,,,,,,,,,,,,,
Laslow's BladeAtk,Laslow's Blade,18,1,"If a movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by unit or targets unit, grants Atk/Spd/Def/Res+4 to target or targeting ally and allies within 2 spaces of unit and target or targeting ally for 1 turn after movement. (Excludes unit.)",Sword,laslowShmovement,4,HPBoost,5,,,,,,,Laslow,,,,,,,,,,,,,,,,,,,
Laslow's BladeSpd,Laslow's Blade,16,1,"If a movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by unit or targets unit, grants Atk/Spd/Def/Res+4 to target or targeting ally and allies within 2 spaces of unit and target or targeting ally for 1 turn after movement. (Excludes unit.)",Sword,laslowShmovement,4,HPBoost,5,spdBoost,3,,,,,Laslow,,,,,,,,,,,,,,,,,,,
Laslow's BladeDef,Laslow's Blade,16,1,"If a movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by unit or targets unit, grants Atk/Spd/Def/Res+4 to target or targeting ally and allies within 2 spaces of unit and target or targeting ally for 1 turn after movement. (Excludes unit.)",Sword,laslowShmovement,4,HPBoost,5,defBoost,4,,,,,Laslow,,,,,,,,,,,,,,,,,,,
Laslow's BladeRes,Laslow's Blade,16,1,"If a movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by unit or targets unit, grants Atk/Spd/Def/Res+4 to target or targeting ally and allies within 2 spaces of unit and target or targeting ally for 1 turn after movement. (Excludes unit.)",Sword,laslowShmovement,4,HPBoost,5,resBoost,4,,,,,Laslow,,,,,,,,,,,,,,,,,,,
Laid-Back Blade,Laid-Back Blade,16,1,"Effective against cavalry foes. At start of combat, if unit's HP ≥ 50%, grants Atk/Spd/Def/Res+3 during combat.",Sword,effCav,0,grayBoost,3,,,,,,,Gray,,,,,,,,,,,,,,,,,,,
Laid-Back BladeEff,Laid-Back Blade,16,1,"Effective against cavalry foes. At start of combat, if unit's HP ≥ 50%, grants Atk/Spd/Def/Res+3 during combat. If the number of foes within 2 spaces (excluding target) ≥ the number of allies within 2 spaces (excluding unit), grants Atk/Spd/Def/Res+5 to unit during combat.",Sword,effCav,0,grayBoost,3,HPBoost,3,challenger,0,,,Gray,,,,,,,,,,,,,,,,,,,
Laid-Back BladeAtk,Laid-Back Blade,18,1,"Effective against cavalry foes. At start of combat, if unit's HP ≥ 50%, grants Atk/Spd/Def/Res+3 during combat.",Sword,effCav,0,grayBoost,3,HPBoost,5,,,,,Gray,,,,,,,,,,,,,,,,,,,
Laid-Back BladeSpd,Laid-Back Blade,16,1,"Effective against cavalry foes. At start of combat, if unit's HP ≥ 50%, grants Atk/Spd/Def/Res+3 during combat.",Sword,effCav,0,grayBoost,3,HPBoost,5,spdBoost,3,,,Gray,,,,,,,,,,,,,,,,,,,
Laid-Back BladeDef,Laid-Back Blade,16,1,"Effective against cavalry foes. At start of combat, if unit's HP ≥ 50%, grants Atk/Spd/Def/Res+3 during combat.",Sword,effCav,0,grayBoost,3,HPBoost,5,defBoost,4,,,Gray,,,,,,,,,,,,,,,,,,,
Laid-Back BladeRes,Laid-Back Blade,16,1,"Effective against cavalry foes. At start of combat, if unit's HP ≥ 50%, grants Atk/Spd/Def/Res+3 during combat.",Sword,effCav,0,grayBoost,3,HPBoost,5,resBoost,4,,,Gray,,,,,,,,,,,,,,,,,,,
Jubilant Blade,Jubilant Blade,16,1,Effective against armored foes.,Sword,effArmor,0,,,,,,,,,Tobin,,,,,,,,,,,,,,,,,,,
Jubilant BladeEff,Jubilant Blade,16,1,"Effective against armored foes. At start of combat, if unit's max HP ≥ foe's HP+1, grants Atk/Spd/Def/Res+4 to unit during combat.",Sword,effArmor,0,HPBoost,3,HPWarrior,4,,,,,Tobin,,,,,,,,,,,,,,,,,,,
Jubilant BladeAtk,Jubilant Blade,18,1,Effective against armored foes.,Sword,effArmor,0,HPBoost,5,,,,,,,Tobin,,,,,,,,,,,,,,,,,,,
Jubilant BladeSpd,Jubilant Blade,16,1,Effective against armored foes.,Sword,effArmor,0,HPBoost,5,spdBoost,3,,,,,Tobin,,,,,,,,,,,,,,,,,,,
Jubilant BladeDef,Jubilant Blade,16,1,Effective against armored foes.,Sword,effArmor,0,HPBoost,5,defBoost,4,,,,,Tobin,,,,,,,,,,,,,,,,,,,
Jubilant BladeRes,Jubilant Blade,16,1,Effective against armored foes.,Sword,effArmor,0,HPBoost,5,resBoost,4,,,,,Tobin,,,,,,,,,,,,,,,,,,,
Feather Sword,Feather Sword,16,1,"Grants Atk+3. Effective against sword, lance, axe, colorless bow, and armored foes. If foe initiates combat and is armored or uses sword, lance, axe, or colorless bow, or if unit's HP ≤ 75%, unit can counterattack before foe's first attack.",Sword,atkBoost,3,effCaeda,0,caedaVantage,0,,,,,CH!Caeda,,,,,,,,,,,,,,,,,,,
Feather SwordEff,Feather Sword,16,1,"Grants Atk+3. Effective against sword, lance, axe, colorless bow, and armored foes. If foe initiates combat or if foe's HP ≥ 75% at start of combat, grants Atk/Spd/Def/Res+4 to unit during combat and neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks. If foe initiates combat and is armored or uses sword, lance, axe, or colorless bow, or if unit's HP ≤ 90%, unit can counterattack before foe's first attack. Enables【Canto (２)】. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+4 to unit, grants bonus to unit's Atk/Spd = number of allies within 3 spaces × 3 (max 6), and reduces damage from foe's first attack by 40% during combat (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes).",Sword,atkBoost,3,effCaeda,0,featherSwordRefBase,0,HPBoost,3,refinedFeather,0,CH!Caeda,,,,,,,,,,,,,,,,,,,
Feather SwordAtk,Feather Sword,18,1,"Grants Atk+3. Effective against sword, lance, axe, colorless bow, and armored foes. If foe initiates combat or if foe's HP ≥ 75% at start of combat, grants Atk/Spd/Def/Res+4 to unit during combat and neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks. If foe initiates combat and is armored or uses sword, lance, axe, or colorless bow, or if unit's HP ≤ 90%, unit can counterattack before foe's first attack.",Sword,atkBoost,3,effCaeda,0,featherSwordRefBase,0,HPBoost,5,,,CH!Caeda,,,,,,,,,,,,,,,,,,,
Feather SwordSpd,Feather Sword,16,1,"Grants Atk+3. Effective against sword, lance, axe, colorless bow, and armored foes. If foe initiates combat or if foe's HP ≥ 75% at start of combat, grants Atk/Spd/Def/Res+4 to unit during combat and neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks. If foe initiates combat and is armored or uses sword, lance, axe, or colorless bow, or if unit's HP ≤ 90%, unit can counterattack before foe's first attack.",Sword,atkBoost,3,effCaeda,0,featherSwordRefBase,0,HPBoost,5,spdBoost,3,CH!Caeda,,,,,,,,,,,,,,,,,,,
Feather SwordDef,Feather Sword,16,1,"Grants Atk+3. Effective against sword, lance, axe, colorless bow, and armored foes. If foe initiates combat or if foe's HP ≥ 75% at start of combat, grants Atk/Spd/Def/Res+4 to unit during combat and neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks. If foe initiates combat and is armored or uses sword, lance, axe, or colorless bow, or if unit's HP ≤ 90%, unit can counterattack before foe's first attack.",Sword,atkBoost,3,effCaeda,0,featherSwordRefBase,0,HPBoost,5,defBoost,4,CH!Caeda,,,,,,,,,,,,,,,,,,,
Feather SwordRes,Feather Sword,16,1,"Grants Atk+3. Effective against sword, lance, axe, colorless bow, and armored foes. If foe initiates combat or if foe's HP ≥ 75% at start of combat, grants Atk/Spd/Def/Res+4 to unit during combat and neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks. If foe initiates combat and is armored or uses sword, lance, axe, or colorless bow, or if unit's HP ≤ 90%, unit can counterattack before foe's first attack.",Sword,atkBoost,3,effCaeda,0,featherSwordRefBase,0,HPBoost,5,resBoost,4,CH!Caeda,,,,,,,,,,,,,,,,,,,
Chaos Ragnell,Chaos Ragnell,16,1,"Unit can counterattack regardless of foe's range. Grants bonus to Atk/Spd/Def/Res during combat = current penalty on each of unit's stats × 2. (Example: if unit has -7 penalty to Atk, grants Atk+14, for a net bonus of Atk+7.) Calculates each stat bonus independently.",Sword,dCounter,0,penaltyReverse,0,,,,,,,FA!Ike,,,,,,,,,,,,,,,,,,,
Chaos RagnellEff,Chaos Ragnell,16,1,"Unit can counterattack regardless of foe's range. Grants Atk/Spd/Def/Res+4 to unit during combat. Grants bonus to unit's Atk/Spd/Def/Res during combat = current penalty on each of unit's stats × 2 (example: if unit has -7 penalty to Atk, grants Atk+18, for a net bonus of Atk+11; calculates each stat bonus independently). Neutralizes effects that inflict ""Special cooldown charge-X"" on unit during combat. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+4 to unit and reduces damage from foe's first attack by 7 during combat (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and also, when unit's Special triggers, neutralizes foe's ""reduces damage by X%"" effects from foe's non-Special skills (excluding when dealing damage with an area-of-effect Special). At start of combat, if unit's HP ≥ 25% and unit's attack can trigger unit's Special, grants Special cooldown count-X to unit before unit's first attack during combat (X = 50% of unit's max Special cooldown count value).",Sword,dCounter,0,penaltyReverse,2,refineFallenIke,0,HPBoost,3,"HATE, HATE!",0,FA!Ike,,,,,,,,,,,,,,,,,,,
Chaos RagnellAtk,Chaos Ragnell,16,1,"Unit can counterattack regardless of foe's range. Grants Atk/Spd/Def/Res+4 to unit during combat. Grants bonus to unit's Atk/Spd/Def/Res during combat = current penalty on each of unit's stats × 2 (example: if unit has -7 penalty to Atk, grants Atk+18, for a net bonus of Atk+11; calculates each stat bonus independently). Neutralizes effects that inflict ""Special cooldown charge-X"" on unit during combat.",Sword,dCounter,0,penaltyReverse,4,refineFallenIke,0,HPBoost,5,,,FA!Ike,,,,,,,,,,,,,,,,,,,
Chaos RagnellSpd,Chaos Ragnell,16,1,"Unit can counterattack regardless of foe's range. Grants Atk/Spd/Def/Res+4 to unit during combat. Grants bonus to unit's Atk/Spd/Def/Res during combat = current penalty on each of unit's stats × 2 (example: if unit has -7 penalty to Atk, grants Atk+18, for a net bonus of Atk+11; calculates each stat bonus independently). Neutralizes effects that inflict ""Special cooldown charge-X"" on unit during combat.",Sword,dCounter,0,penaltyReverse,6,refineFallenIke,0,HPBoost,5,spdBoost,3,FA!Ike,,,,,,,,,,,,,,,,,,,
Chaos RagnellDef,Chaos Ragnell,16,1,"Unit can counterattack regardless of foe's range. Grants Atk/Spd/Def/Res+4 to unit during combat. Grants bonus to unit's Atk/Spd/Def/Res during combat = current penalty on each of unit's stats × 2 (example: if unit has -7 penalty to Atk, grants Atk+18, for a net bonus of Atk+11; calculates each stat bonus independently). Neutralizes effects that inflict ""Special cooldown charge-X"" on unit during combat.",Sword,dCounter,0,penaltyReverse,8,refineFallenIke,0,HPBoost,5,defBoost,4,FA!Ike,,,,,,,,,,,,,,,,,,,
Chaos RagnellRes,Chaos Ragnell,16,1,"Unit can counterattack regardless of foe's range. Grants Atk/Spd/Def/Res+4 to unit during combat. Grants bonus to unit's Atk/Spd/Def/Res during combat = current penalty on each of unit's stats × 2 (example: if unit has -7 penalty to Atk, grants Atk+18, for a net bonus of Atk+11; calculates each stat bonus independently). Neutralizes effects that inflict ""Special cooldown charge-X"" on unit during combat.",Sword,dCounter,0,penaltyReverse,10,refineFallenIke,0,HPBoost,5,resBoost,4,FA!Ike,,,,,,,,,,,,,,,,,,,
Gurgurant,Gurgurant,16,1,"Neutralizes ""effective against flying"" bonuses. Grants Def+3. Inflicts Atk/Def-5 on foes within 2 spaces during combat.",Sword,nullEffFly,0,defBoost,3,atkRein,5,defRein,5,,,Ashnard,,,,,,,,,,,,,,,,,,,
GurgurantEff,Gurgurant,16,1,"Neutralizes ""effective against flying"" bonuses. Grants Def+3. Inflicts Atk/Def-5 on foes within 4 spaces of unit during combat, neutralizes those foe's bonuses to Atk/Def during combat, those foes cannot make a follow-up attack, and inflicts Special cooldown charge -1 on those foes per attack during combat (only highest value applied; does not stack). If foe initiates combat or foe's HP ≥ 75% at start of combat, inflicts Atk/Def-X on foe during combat (X = 15% of unit's Def at start of combat + 5) and reduces damage from attacks during combat by 30% (excluding area-of-effect Specials).",Sword,nullEffFly,0,defBoost,3,bigRein,5,HPBoost,3,refinedRein,0,Ashnard,,,,,,,,,,,,,,,,,,,
GurgurantAtk,Gurgurant,18,1,"Neutralizes ""effective against flying"" bonuses. Grants Def+3. Inflicts Atk/Def-5 on foes within 4 spaces of unit during combat, neutralizes those foe's bonuses to Atk/Def during combat, those foes cannot make a follow-up attack, and inflicts Special cooldown charge -1 on those foes per attack during combat (only highest value applied; does not stack).",Sword,nullEffFly,0,defBoost,3,bigRein,5,HPBoost,5,,,Ashnard,,,,,,,,,,,,,,,,,,,
GurgurantSpd,Gurgurant,16,1,"Neutralizes ""effective against flying"" bonuses. Grants Def+3. Inflicts Atk/Def-5 on foes within 4 spaces of unit during combat, neutralizes those foe's bonuses to Atk/Def during combat, those foes cannot make a follow-up attack, and inflicts Special cooldown charge -1 on those foes per attack during combat (only highest value applied; does not stack).",Sword,nullEffFly,0,defBoost,3,bigRein,5,HPBoost,5,spdBoost,3,Ashnard,,,,,,,,,,,,,,,,,,,
GurgurantDef,Gurgurant,16,1,"Neutralizes ""effective against flying"" bonuses. Grants Def+3. Inflicts Atk/Def-5 on foes within 4 spaces of unit during combat, neutralizes those foe's bonuses to Atk/Def during combat, those foes cannot make a follow-up attack, and inflicts Special cooldown charge -1 on those foes per attack during combat (only highest value applied; does not stack).",Sword,nullEffFly,0,defBoost,3,bigRein,5,HPBoost,5,defBoost,4,Ashnard,,,,,,,,,,,,,,,,,,,
GurgurantRes,Gurgurant,16,1,"Neutralizes ""effective against flying"" bonuses. Grants Def+3. Inflicts Atk/Def-5 on foes within 4 spaces of unit during combat, neutralizes those foe's bonuses to Atk/Def during combat, those foes cannot make a follow-up attack, and inflicts Special cooldown charge -1 on those foes per attack during combat (only highest value applied; does not stack).",Sword,nullEffFly,0,defBoost,3,bigRein,5,HPBoost,5,resBoost,4,Ashnard,,,,,,,,,,,,,,,,,,,
Stalwart Sword,Stalwart Sword,16,1,"If foe initiates combat, inflicts Atk-6 on foe during combat.",Sword,draugBlade,0,,,,,,,,,Draug,,,,,,,,,,,,,,,,,,,
Stalwart SwordEff,Stalwart Sword,16,1,"If foe initiates combat, inflicts Atk-6 on foe during combat.",Sword,draugBlade,1,HPBoost,3,guardraug,0,,,,,Draug,,,,,,,,,,,,,,,,,,,
Stalwart SwordAtk,Stalwart Sword,18,1,"If foe initiates combat, inflicts Atk-6 on foe during combat. If unit is within 2 spaces of an ally, grants Atk/Def+5 to unit and neutralizes unit's penalties to Atk/Def during combat.",Sword,draugBlade,2,HPBoost,5,,,,,,,Draug,,,,,,,,,,,,,,,,,,,
Stalwart SwordSpd,Stalwart Sword,16,1,"If foe initiates combat, inflicts Atk-6 on foe during combat.",Sword,draugBlade,3,HPBoost,5,spdBoost,3,,,,,Draug,,,,,,,,,,,,,,,,,,,
Stalwart SwordDef,Stalwart Sword,16,1,"If foe initiates combat, inflicts Atk-6 on foe during combat.",Sword,draugBlade,4,HPBoost,5,defBoost,4,,,,,Draug,,,,,,,,,,,,,,,,,,,
Stalwart SwordRes,Stalwart Sword,16,1,"If foe initiates combat, inflicts Atk-6 on foe during combat.",Sword,draugBlade,5,HPBoost,5,resBoost,4,,,,,Draug,,,,,,,,,,,,,,,,,,,
Flower of Ease,Flower of Ease,16,1,"Grants Res+3. If【Penalty】is active on any foes within 3 columns centered on unit, inflicts Atk/Def/Res-3 on those foes during combat. 【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",Sword,resBoost,3,zzzzZZZZzzzzz,3,,,,,,,Mirabilis,,,,,,,,,,,,,,,,,,,
Flower of EaseEff,Flower of Ease,16,1,"Grants Res+3. If【Penalty】is active on any foes within 3 columns centered on unit, inflicts Atk/Def/Res-4 on those foes during combat. At start of combat, if foe's HP ≥ 75% or【Penalty】is active on foe, inflicts Atk/Def-5 on foe during combat. At start of combat, if unit's HP ≥ 25%, inflicts Atk/Def-5 on foe and unit makes a guaranteed follow-up attack during combat, and also, after combat, if unit attacked, inflicts status on foes within 3 columns centered on unit preventing counterattacks through their next actions.",Sword,resBoost,3,zzzzzzzzzzzzzzzz,4,HPBoost,3,sleepy head,0,,,Mirabilis,,,,,,,,,,,,,,,,,,,
Flower of EaseAtk,Flower of Ease,18,1,"Grants Res+3. If【Penalty】is active on any foes within 3 columns centered on unit, inflicts Atk/Def/Res-4 on those foes during combat. At start of combat, if foe's HP ≥ 75% or【Penalty】is active on foe, inflicts Atk/Def-5 on foe during combat.",Sword,resBoost,3,zzzzzzzzzzzzzzzz,4,HPBoost,5,,,,,Mirabilis,,,,,,,,,,,,,,,,,,,
Flower of EaseSpd,Flower of Ease,16,1,"Grants Res+3. If【Penalty】is active on any foes within 3 columns centered on unit, inflicts Atk/Def/Res-4 on those foes during combat. At start of combat, if foe's HP ≥ 75% or【Penalty】is active on foe, inflicts Atk/Def-5 on foe during combat.",Sword,resBoost,3,zzzzzzzzzzzzzzzz,4,HPBoost,5,spdBoost,3,,,Mirabilis,,,,,,,,,,,,,,,,,,,
Flower of EaseDef,Flower of Ease,16,1,"Grants Res+3. If【Penalty】is active on any foes within 3 columns centered on unit, inflicts Atk/Def/Res-4 on those foes during combat. At start of combat, if foe's HP ≥ 75% or【Penalty】is active on foe, inflicts Atk/Def-5 on foe during combat.",Sword,resBoost,3,zzzzzzzzzzzzzzzz,4,HPBoost,5,defBoost,4,,,Mirabilis,,,,,,,,,,,,,,,,,,,
Flower of EaseRes,Flower of Ease,16,1,"Grants Res+3. If【Penalty】is active on any foes within 3 columns centered on unit, inflicts Atk/Def/Res-4 on those foes during combat. At start of combat, if foe's HP ≥ 75% or【Penalty】is active on foe, inflicts Atk/Def-5 on foe during combat.",Sword,resBoost,7,zzzzzzzzzzzzzzzz,4,HPBoost,5,,,,,Mirabilis,,,,,,,,,,,,,,,,,,,
Amatsu,Amatsu,16,1,"Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 50%, unit can counterattack regardless of foe's range.",Sword,slaying,1,amatsuDC,0,,,,,,,Say'ri,,,,,,,,,,,,,,,,,,,
AmatsuEff,Amatsu,16,1,"Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, unit can counterattack regardless of foe's range. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+4 to unit and reduces damage from foe's first attack by 7 during combat (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes). If foe initiates combat or foe's HP ≥ 75% at start of combat, grants Atk/Spd/Def/Res+4 to unit, reduces damage from foe's first attack by 40% (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and grants Special cooldown charge +1 to unit per attack during combat (only highest value applied; does not stack), and restores 7 HP to unit after combat.",Sword,slaying,1,sayriBoost,0,HPBoost,3,fairEnough,0,,,Say'ri,,,,,,,,,,,,,,,,,,,
AmatsuAtk,Amatsu,18,1,"Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, unit can counterattack regardless of foe's range. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+4 to unit and reduces damage from foe's first attack by 7 during combat (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes).",Sword,slaying,1,sayriBoost,0,HPBoost,5,,,,,Say'ri,,,,,,,,,,,,,,,,,,,
AmatsuSpd,Amatsu,16,1,"Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, unit can counterattack regardless of foe's range. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+4 to unit and reduces damage from foe's first attack by 7 during combat (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes).",Sword,slaying,1,sayriBoost,0,HPBoost,5,spdBoost,3,,,Say'ri,,,,,,,,,,,,,,,,,,,
AmatsuDef,Amatsu,16,1,"Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, unit can counterattack regardless of foe's range. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+4 to unit and reduces damage from foe's first attack by 7 during combat (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes).",Sword,slaying,1,sayriBoost,0,HPBoost,5,defBoost,4,,,Say'ri,,,,,,,,,,,,,,,,,,,
AmatsuRes,Amatsu,16,1,"Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, unit can counterattack regardless of foe's range. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+4 to unit and reduces damage from foe's first attack by 7 during combat (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes).",Sword,slaying,1,sayriBoost,0,HPBoost,5,resBoost,4,,,Say'ri,,,,,,,,,,,,,,,,,,,
Virtuous Tyrfing,Virtuous Tyrfing,16,1,"Grants Res+3. If foe initiates combat or if unit's HP < 100% at start of combat, inflicts Atk/Def-6 on foe during combat, and if unit deals damage to foe during combat, restores 7 HP to unit. (Triggers even if 0 damage is dealt.)",Sword,resBoost,3,vTyrfing,0,,,,,,,L!Seliph,,,,,,,,,,,,,,,,,,,
Virtuous TyrfingEff,Virtuous Tyrfing,16,1,"Grants Res+3. At start of combat, if unit's HP ≤ 99%, if foe's HP ≥ 75%, or if foe initiates combat, inflicts Atk/Def-6 on foe, deals damage = 15% of unit's Atk (excluding area-of-effect Specials), and neutralizes effects that prevent unit's counterattacks during combat, and also, if unit deals damage to foe during combat, restores 8 HP to unit (triggers even if 0 damage is dealt).",Sword,resBoost,3,newVTyrfing,1,HPBoost,3,NO MORE LOSSES,2000,,,L!Seliph,,,,,,,,,,,,,,,,,,,
Virtuous TyrfingAtk,Virtuous Tyrfing,18,1,"Grants Res+3. At start of combat, if unit's HP ≤ 99%, if foe's HP ≥ 75%, or if foe initiates combat, inflicts Atk/Def-6 on foe, deals damage = 15% of unit's Atk (excluding area-of-effect Specials), and neutralizes effects that prevent unit's counterattacks during combat, and also, if unit deals damage to foe during combat, restores 8 HP to unit (triggers even if 0 damage is dealt). If unit initiates combat or is within 3 spaces of an ally, inflicts Atk/Def-5 on foe and reduces damage from attacks by X% during combat (if foe uses magic or staff, X = 80; otherwise, X = 40; excluding area-of-effect Specials). If foe initiates combat, unit is within 3 spaces of an ally, unit's HP ≥ 50%, and foe would reduce unit's HP to 0 during combat, unit survives with 1 HP (once per turn; does not stack with non-Special effects that allow unit to survive with 1 HP if foe's attack would reduce unit's HP to 0; when any other such effect triggers, this effect will trigger too, regardless of its HP conditional).",Sword,resBoost,3,newVTyrfing,1,HPBoost,5,,,,,L!Seliph,,,,,,,,,,,,,,,,,,,
Virtuous TyrfingSpd,Virtuous Tyrfing,16,1,"Grants Res+3. At start of combat, if unit's HP ≤ 99%, if foe's HP ≥ 75%, or if foe initiates combat, inflicts Atk/Def-6 on foe, deals damage = 15% of unit's Atk (excluding area-of-effect Specials), and neutralizes effects that prevent unit's counterattacks during combat, and also, if unit deals damage to foe during combat, restores 8 HP to unit (triggers even if 0 damage is dealt).",Sword,resBoost,3,newVTyrfing,1,HPBoost,5,spdBoost,3,,,L!Seliph,,,,,,,,,,,,,,,,,,,
Virtuous TyrfingDef,Virtuous Tyrfing,16,1,"Grants Res+3. At start of combat, if unit's HP ≤ 99%, if foe's HP ≥ 75%, or if foe initiates combat, inflicts Atk/Def-6 on foe, deals damage = 15% of unit's Atk (excluding area-of-effect Specials), and neutralizes effects that prevent unit's counterattacks during combat, and also, if unit deals damage to foe during combat, restores 8 HP to unit (triggers even if 0 damage is dealt).",Sword,resBoost,3,newVTyrfing,1,HPBoost,5,defBoost,4,,,L!Seliph,,,,,,,,,,,,,,,,,,,
Virtuous TyrfingRes,Virtuous Tyrfing,16,1,"Grants Res+3. At start of combat, if unit's HP ≤ 99%, if foe's HP ≥ 75%, or if foe initiates combat, inflicts Atk/Def-6 on foe, deals damage = 15% of unit's Atk (excluding area-of-effect Specials), and neutralizes effects that prevent unit's counterattacks during combat, and also, if unit deals damage to foe during combat, restores 8 HP to unit (triggers even if 0 damage is dealt).",Sword,resBoost,7,newVTyrfing,1,HPBoost,5,,,,,L!Seliph,,,,,,,,,,,,,,,,,,,
Blade of Shadow,Blade of Shadow,16,1,"Accelerates Special trigger (cooldown count-1). If foe initiates combat or if foe's HP = 100% at start of combat, neutralizes penalties on unit and inflicts Atk/Spd/Def-5 on foe during combat.",Sword,slaying,1,krisWeapon,0,,,,,,,M!Kris,,,,,,,,,,,,,,,,,,,
Blade of ShadowEff,Blade of Shadow,16,1,"Accelerates Special trigger (cooldown count-1). If foe initiates combat or if foe's HP ≥ 75% at start of combat, neutralizes unit's penalties, inflicts Atk/Spd/Def-5 on foe, and neutralizes effects that grant ""Special cooldown charge +X"" to foe or inflict ""Special cooldown charge -X"" on unit during combat. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+4 to unit, reduces damage from foe's first attack by 40% (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and deals damage = 20% of unit's Spd during combat (excluding area-of-effect Specials), and also, when unit deals damage to foe, restores 7 HP to unit (triggers even if 0 damage is dealt).",Sword,slaying,1,krisRefineWeapon,0,HPBoost,3,SUPER FREAKING MARIO!,0,,,M!Kris,,,,,,,,,,,,,,,,,,,
