IntName,Name,Epithet,HP,Atk,Spd,Def,Res,Movement,Weapon Type,Game,Secondary Game,HP Grow,Atk Grow,Spd Grow,Def Grow,Res Grow,DFlowerLimit,BVID,HeroType,HasResp,RefreshType
SP!Delthea,Delthea,Prodigy in Bloom,36,43,40,16,28,1,BTome,15,-1,45,75,70,30,50,15,160,0,FALSE,0
FA!Delthea,Delthea,Tatarrah's Puppet,41,36,33,19,28,0,BTome,15,-1,55,60,55,35,50,25,154,0,FALSE,0
H!Dheginsea,Dheginsea,Harvest Goldoan,45,45,14,41,39,3,RDragon,10,-1,60,75,25,65,70,20,56,0,FALSE,0
Diamant,Diamant,Rising Power,41,46,36,43,21,0,Sword,17,-1,55,70,70,75,35,10,6,0,FALSE,0
Dieck,Dieck,Wounded Tiger,40,40,35,36,25,0,Axe,6,-1,50,70,60,60,45,20,181,0,FALSE,0
Dimitri,Dimitri,The Protector,40,36,29,34,18,1,Lance,16,-1,50,60,55,55,35,25,91,0,FALSE,0
B!Dimitri,Dimitri,King of Faerghus,41,40,36,40,19,0,Lance,16,-1,50,70,65,70,30,20,251,0,FALSE,0
FA!Dimitri,Dimitri,Savage Boar,40,42,40,38,17,0,Lance,16,-1,50,70,75,60,30,20,98,0,FALSE,0
L!Dimitri,Dimitri,Savior King,40,41,41,37,18,0,Lance,16,-1,50,70,75,60,30,20,55,0,FALSE,0
SU!Dimitri,Dimitri,Sky-Blue Lion,40,42,40,35,17,1,Axe,16,-1,50,75,70,60,30,15,207,0,FALSE,0
WI!Dimitri,Dimitri,Blessed Protector,41,47,46,32,19,1,Axe,16,-1,50,90,75,55,35,5,180,0,FALSE,0
Díthorba,Díthorba,Cutting Knight,43,35,38,23,33,2,Lance,4,-1,55,65,65,40,55,20,94,0,FALSE,0
Donnel,Donnel,Sunny Villager,43,35,29,32,23,0,Lance,13,-1,60,65,55,60,45,25,52,0,FALSE,0
SU!Donnel,Donnel,Village Hero,46,45,31,40,30,0,Axe,13,-1,70,80,60,70,55,10,168,0,FALSE,0
H!Dorcas,Dorcas,Pumpkin Smasher,49,41,25,37,21,3,Axe,7,-1,60,70,45,65,35,25,116,0,FALSE,0
Dorcas,Dorcas,Serene Warrior,45,35,23,35,24,0,Axe,7,-1,60,60,40,60,45,30,184,0,FALSE,0
SU!Dorothea,Dorothea,Solar Songstress,38,37,36,16,30,0,CDagger,16,-1,50,70,65,30,55,25,50,0,FALSE,0
DE!Dorothea,Dorothea,Twilit Harmony,37,38,35,16,26,2,RTome,16,-1,50,70,60,30,50,20,150,0,FALSE,0
WI!Dorothea,Dorothea,Yuletide Dancer,36,41,41,16,25,1,RTome,16,-1,50,75,70,30,50,10,151,0,FALSE,0
Dorothy,Dorothy,Devoted Archer,40,46,43,25,28,0,CBow,6,-1,50,80,70,45,55,10,201,0,FALSE,0
H!Dozla,Dozla,Harvest Attendant,45,38,29,35,27,3,CDagger,8,-1,55,70,50,60,45,25,136,0,FALSE,0
Draug,Draug,Gentle Giant,50,30,32,39,18,3,Sword,1,-1,60,50,60,60,35,25,209,0,FALSE,0
Duessel,Duessel,Obsidian,41,39,18,39,31,1,Lance,8,-1,50,70,30,70,55,20,181,0,FALSE,0
Duma,Duma,God of Strength,48,40,21,34,31,3,CDragon,15,-1,55,70,35,60,55,25,47,0,FALSE,0
H!Duma,Duma,Strength and Love,47,46,19,40,43,3,RDragon,15,-1,65,75,35,70,70,10,211,0,FALSE,0
Dwyer,Dwyer,Sleepy Butler,40,37,35,25,39,0,Staff,14,-1,50,65,60,45,70,10,168,0,FALSE,0
Echidna,Echidna,Unyielding Idealist,45,34,36,30,27,0,Axe,6,-1,60,60,60,55,45,25,72,0,FALSE,0
Edelgard,Edelgard,The Future,41,39,30,37,21,0,Axe,16,-1,55,70,50,65,35,25,21,0,FALSE,0
B!Edelgard,Edelgard,Adrestian Emperor,46,45,16,43,35,3,Axe,16,-1,60,75,30,70,60,20,22,0,FALSE,0
L!Edelgard,Edelgard,Flame Emperor,45,42,17,39,36,3,Axe,16,-1,60,70,30,60,65,25,241,0,FALSE,0
FA!Edelgard,Edelgard,Hegemon Husk,45,42,14,44,39,3,CBeast,16,-1,55,70,25,75,70,20,84,0,FALSE,0
SU!Edelgard,Edelgard,Sun Empresses,46,45,17,43,39,3,Sword,16,-1,60,75,30,70,70,15,109,0,FALSE,0
WI!Edelgard,Edelgard,Snowfall Future,46,47,17,47,44,3,Lance,16,-1,60,90,30,75,70,5,110,0,FALSE,0
Edward,Edward,Blade of Justice,40,43,46,43,21,0,Sword,10,-1,50,70,80,80,35,5,-1,HERO,FALSE,0
Effie,Effie,Army of One,50,40,22,33,23,3,Lance,14,-1,65,65,40,50,45,25,171,0,TRUE,0
V!Effie,Effie,Dedicated Heart,43,46,43,32,23,0,Axe,14,-1,55,80,70,55,45,10,161,0,FALSE,0
A!Eir,Eir,Life Ascendant,35,42,45,16,35,1,GDagger,0,-1,45,70,75,30,70,10,63,0,FALSE,0
Eir,Eir,Merciful Death,35,32,37,14,31,2,CDagger,0,-1,45,55,65,25,55,25,131,0,FALSE,0
NY!Eir,Eir,Renewed Life,39,31,36,21,34,2,RDagger,0,-1,50,50,65,35,65,25,25,0,FALSE,0
P!Eirika,Eirika,Anamnesis Lady,36,31,35,20,22,1,RTome,8,-1,45,55,60,35,40,25,179,0,FALSE,0
SU!Eirika,Eirika,Beach Restorer,39,39,42,25,22,2,GTome,8,-1,50,70,70,50,35,15,245,0,FALSE,0
WI!Eirika,Eirika,Gentle as Snow,42,36,23,30,34,3,Staff,8,-1,55,60,40,50,55,25,90,0,FALSE,0
L!Eirika,Eirika,Graceful Resolve,38,31,39,27,21,1,Sword,8,-1,50,60,65,45,35,25,221,0,FALSE,0
B!Eirika,Eirika,Pledged Restorer,39,40,42,28,24,1,Lance,8,-1,50,70,70,50,45,15,225,0,FALSE,0
Eirika,Eirika,Restoration Lady,42,26,35,26,28,0,Sword,8,-1,55,45,60,45,50,30,65,0,TRUE,0
CH!Eirika,Eirika,Twin Refulgence,40,36,43,30,28,0,Sword,8,-1,50,65,70,50,50,20,17,0,FALSE,0
Eitr,Eitr,Hand of Nothing,40,44,46,33,16,1,BBeast,0,-1,50,75,70,70,30,10,86,0,FALSE,0
Eitri,Eitri,Youthful Sage,37,41,29,30,31,2,GTome,0,-1,50,70,50,50,55,15,138,0,FALSE,0
Eldigan,Eldigan,Lionheart,45,32,24,34,19,1,Sword,4,-1,60,55,45,60,30,25,72,0,TRUE,0
DA!Eldigan,Eldigan,Strutting Lion,43,38,26,37,18,2,Lance,4,-1,60,70,50,65,30,20,181,0,FALSE,0
Eleonora,Eleonora,Shooting Starlet,42,37,38,25,24,0,CBow,69,-1,55,70,70,40,40,25,81,0,FALSE,0
Elice,Elice,Altean Princess,40,41,35,27,34,0,Staff,11,-1,50,70,60,50,60,10,235,0,FALSE,0
Elimine,Elimine,Scouring Saint,36,34,40,16,41,2,Staff,6,-1,45,55,70,30,75,15,133,0,FALSE,0
A!Elincia,Elincia,Devoted Queen,38,44,45,18,28,2,Staff,10,-1,50,75,70,35,55,10,186,0,FALSE,0
DA!Elincia,Elincia,Estival Princess,34,29,35,20,21,0,GDagger,10,-1,45,55,65,35,40,30,250,0,FALSE,0
Elincia,Elincia,Lost Princess,35,34,36,24,27,2,Sword,9,-1,45,60,60,45,45,25,126,0,TRUE,0
SU!Elincia,Elincia,Seaside Queen,38,36,40,25,33,2,BBow,10,-1,50,65,70,45,55,15,242,0,FALSE,0
L!Elincia,Elincia,Undaunted Queen,40,45,47,23,34,2,Sword,10,-1,50,80,90,40,50,5,218,0,FALSE,0
HS!Elise,Elise,Bubbling Flower,34,33,37,18,22,1,RDagger,14,-1,45,60,60,35,35,25,156,0,FALSE,0
Elise,Elise,Budding Flower,30,32,32,19,32,1,Staff,14,-1,35,55,55,35,55,25,234,0,TRUE,0
V!Elise,Elise,Sweetheart Royals,37,43,46,16,27,1,Staff,14,-1,50,70,75,30,55,10,186,0,FALSE,0
SU!Elise,Elise,Tropical Flower,34,36,34,18,25,0,GTome,14,-1,40,60,60,35,45,30,30,0,FALSE,0
L!Eliwood,Eliwood,Blazing Knight,37,36,34,33,16,1,Sword,7,-1,45,70,55,55,30,25,192,0,FALSE,0
V!Eliwood,Eliwood,Devoted Love,47,38,32,29,29,3,Lance,7,-1,55,65,55,50,50,25,26,0,FALSE,0
Eliwood,Eliwood,Knight of Lycia,39,31,30,23,32,1,Sword,7,-1,50,55,50,40,55,25,100,0,TRUE,0
B!Eliwood,Eliwood,Marquess Pherae,40,37,35,32,18,1,Lance,7,-1,50,65,60,60,30,25,132,0,FALSE,0
CH!Eliwood,Eliwood,Pledged Friend,39,45,46,29,20,1,Sword,7,-1,50,70,75,60,40,10,241,0,FALSE,0
NY!Elm,Elm,Resolute Grouch,41,40,45,27,31,2,GBeast,0,-1,50,70,75,50,55,10,85,0,FALSE,0
Embla,Embla,God of Closure,41,43,44,31,24,2,RBeast,0,-1,50,70,75,60,45,10,38,0,FALSE,0
BR!Embla,Embla,Closed-Off Bride,40,45,47,35,22,2,CBeast,0,-1,50,80,90,55,35,5,-1,HERO,FALSE,0
Emmeryn,Emmeryn,Gentle Exalt,43,32,34,23,30,0,Staff,13,-1,55,60,60,40,50,25,157,0,FALSE,0
CH!Emmeryn,Emmeryn,Selfless Exalt,40,47,25,23,47,0,Staff,13,-1,50,90,45,40,75,5,106,HERO,FALSE,0
H!Ena,Ena,Autumn Tactician,44,36,23,37,36,0,RDragon,10,-1,55,60,45,65,60,20,138,0,FALSE,0
P!Ephraim,Ephraim,Dynastic Duo,41,39,30,37,25,0,Lance,8,-1,50,70,50,65,45,25,182,0,FALSE,0
L!Ephraim,Ephraim,Legendary Lord,43,36,27,33,18,1,Lance,8,-1,55,60,50,55,35,25,66,0,FALSE,0
Ephraim,Ephraim,Restoration Lord,45,35,25,32,20,0,Lance,8,-1,60,60,45,55,35,30,230,0,TRUE,0
B!Ephraim,Ephraim,Sacred Twin Lord,46,38,27,37,26,3,BBow,8,-1,55,65,50,60,45,25,6,0,TRUE,0
WI!Ephraim,Ephraim,Sparkling Gallantly,45,41,23,36,29,3,Lance,8,-1,55,70,40,60,50,25,255,0,FALSE,0
SU!Ephraim,Ephraim,Sunshine Valiant,41,47,16,44,31,1,Axe,8,-1,55,70,30,80,60,10,26,0,FALSE,0
V!Ephraim,Ephraim,Ardent Prince,47,48,17,48,41,3,Lance,8,-1,60,90,30,75,70,5,156,HERO,FALSE,0
Eremiya,Eremiya,Bishop of Woe,44,32,35,23,27,0,RTome,12,-1,60,60,60,40,45,25,247,0,FALSE,0
Erinys,Erinys,Earnest Knight,39,37,41,32,23,2,Lance,4,-1,50,70,70,50,40,20,0,0,FALSE,0
Erk,Erk,Studious Mage,45,35,39,19,27,0,RTome,7,-1,60,65,70,30,45,20,226,0,FALSE,0
Est,Est,Junior Whitewing,36,35,30,24,32,2,Lance,1,-1,45,60,50,45,55,25,137,0,TRUE,0
SP!Est,Est,Springtime Flier,39,38,35,17,26,2,BTome,1,-1,50,70,60,30,45,25,27,0,FALSE,0
P!Est,Est,Sweet Baby Sis,35,41,38,25,37,2,Lance,15,-1,45,70,70,40,65,15,252,0,FALSE,0
DA!Ethlyn,Ethlyn,Glimmering Lady,37,36,41,16,28,2,CDagger,4,-1,50,65,75,30,50,20,203,0,FALSE,0
Ethlyn,Ethlyn,Spirited Princess,38,28,34,26,20,1,Staff,4,-1,50,50,55,50,30,25,158,0,FALSE,0
Etie,Etie,Fitness Fighter,40,45,40,30,28,0,CBow,17,-1,50,75,70,55,50,10,21,0,FALSE,0
Ewan,Ewan,Eager Student,38,37,33,23,35,0,RTome,8,-1,50,70,60,45,70,25,219,0,FALSE,0
Eyvel,Eyvel,Mistress of Fiana,41,33,35,38,25,0,Sword,5,-1,55,55,55,70,45,25,138,0,FALSE,0
L!Fae,Fae,Childlike Dragon,40,42,28,37,41,0,BDragon,6,-1,55,75,50,70,75,15,178,0,FALSE,0
Fae,Fae,Divine Dragon,46,33,28,25,30,0,GDragon,6,-1,70,65,55,45,50,30,214,0,TRUE,0
WI!Fae,Fae,Holiday Dear,45,35,26,33,41,3,GDragon,6,-1,65,60,50,55,75,25,47,0,FALSE,0
NY!Fáfnir,Fáfnir,Fresh Ambition,40,43,39,31,16,1,RDagger,0,-1,50,75,70,55,30,15,223,0,FALSE,0
Fargus,Fargus,Badon Buccaneer,43,47,31,40,32,0,Axe,7,-1,55,90,50,70,50,5,119,0,FALSE,0
Farina,Farina,The Great Wing,39,36,38,30,30,2,Lance,7,-1,50,60,65,50,55,20,138,0,FALSE,0
Faye,Faye,Devoted Heart,42,30,25,26,31,0,CBow,15,-1,60,55,50,50,55,30,128,0,TRUE,0
V!Faye,Faye,Drawn Heartstring,43,40,23,35,38,3,CBow,15,-1,55,75,45,65,70,25,182,0,FALSE,0
Febail,Febail,Mercenary Waif,40,46,45,26,31,0,BBow,4,-1,50,80,70,50,60,5,145,0,FALSE,0
Fee,Fee,Aspiring Knight,37,40,45,26,40,2,Sword,4,-1,50,70,70,45,75,5,212,0,FALSE,0
Felicia,Felicia,Maid Mayhem,34,23,37,18,35,0,CDagger,14,-1,45,40,60,35,60,30,31,0,FALSE,0
SP!Felicia,Felicia,Off the Menu,43,30,37,30,35,3,Axe,14,-1,50,50,60,50,65,25,40,0,FALSE,0
Felix,Felix,Lone-Wolf Blade,40,46,46,31,25,0,Sword,16,-1,50,80,70,55,50,10,110,0,FALSE,0
WI!Felix,Felix,Icy Gift Giver,44,38,37,32,29,3,BBow,16,-1,55,65,65,55,50,20,71,0,FALSE,0
Ferdinand,Ferdinand,Noblest of Nobles,41,32,35,30,24,1,Lance,16,-1,50,55,60,55,45,25,246,0,FALSE,0
T!Ferdinand,Ferdinand,Highborn Sipper,40,42,45,21,25,2,GTome,16,-1,50,70,75,40,50,10,203,0,FALSE,0
Fernand,Fernand,Traitorous Knight,45,41,26,32,23,1,Lance,15,-1,60,70,45,55,45,20,132,0,FALSE,0
Finn,Finn,Lance of Legend,40,34,33,32,18,1,Lance,5,-1,50,60,55,55,35,25,203,0,FALSE,0
Fiora,Fiora,Airborne Warrior,38,32,38,21,37,2,Lance,7,-1,45,55,65,35,70,25,167,0,FALSE,0
SU!Fiora,Fiora,Defrosted Ilian,40,32,37,26,28,2,Sword,7,-1,50,55,60,50,50,25,219,0,FALSE,0
SP!Fir,Fir,Student of Spring,39,35,41,28,24,2,Axe,6,-1,50,60,70,50,40,25,85,0,FALSE,0
Fir,Fir,Sword Student,41,25,36,24,31,0,Sword,6,-1,50,45,60,45,55,25,195,0,TRUE,0
A!Fir,Fir,Swordmaiden,42,44,46,34,21,0,Sword,6,-1,55,75,70,65,40,10,63,0,FALSE,0
BR!Fjorm,Fjorm,Bride of Rime,42,34,34,17,23,2,Staff,0,-1,55,60,55,30,45,25,61,0,FALSE,0
A!Fjorm,Fjorm,Ice Ascendant,43,39,41,31,36,3,Axe,0,-1,55,70,70,50,60,15,51,0,FALSE,0
NY!Fjorm,Fjorm,New Traditions,39,35,35,20,21,2,GBow,0,-1,50,60,60,35,40,25,13,0,FALSE,0
Fjorm,Fjorm,Princess of Ice,39,30,31,30,34,0,Lance,0,-1,50,50,55,50,60,30,139,0,FALSE,0
SU!Fjorm,Fjorm,Seaside Thaw,43,43,46,28,28,0,Sword,0,-1,55,75,70,55,50,10,63,0,FALSE,0
Flame Emperor,Flame Emperor,Bringer of War,50,40,25,37,26,3,Axe,16,-1,70,65,45,60,45,25,11,HERO,FALSE,0
BR!Flavia,Flavia,Bold Bride,41,44,45,31,18,1,Sword,13,-1,50,80,70,60,35,10,201,0,FALSE,0
Flavia,Flavia,Feroxi East-Khan,41,40,41,36,23,0,Sword,13,-1,50,70,70,65,40,15,87,0,FALSE,0
Flayn,Flayn,Playing Innocent,40,39,27,21,35,2,Staff,16,-1,50,65,50,40,60,20,20,0,FALSE,0
H!Flayn,Flayn,Silly Kitty-Cat,38,46,26,18,46,1,Staff,16,-1,50,85,50,35,70,5,208,0,FALSE,0
Flora,Flora,Cold as Ice,38,34,23,18,38,0,RDagger,13,-1,50,60,40,30,65,30,7,0,FALSE,0
SP!Flora,Flora,Signature Dish,43,38,22,29,38,3,RDagger,13,-1,55,60,40,50,65,25,208,0,FALSE,0
A!Florina,Florina,Azure-Sky Knight,39,37,43,22,31,2,CBow,7,-1,50,65,70,45,55,15,14,0,FALSE,0
Florina,Florina,Lovely Flier,42,29,27,25,34,2,Lance,7,-1,55,50,45,45,60,25,210,0,TRUE,0
Fomortiis,Fomortiis,Demon King,46,44,15,46,44,3,CBeast,8,-1,55,70,25,85,80,10,74,0,FALSE,0
Forrest,Forrest,Fashion Forward,39,32,26,19,35,1,Staff,14,-1,50,60,45,35,60,25,180,0,FALSE,0
Forsyth,Forsyth,Loyal Lieutenant,47,40,20,39,33,3,Lance,15,-1,55,70,35,65,60,25,130,0,FALSE,0
SP!Framme,Framme,Spring Fangirl,45,41,46,30,31,0,Axe,17,-1,60,70,80,50,55,5,227,HERO,FALSE,0
SU!Frederick,Frederick,Horizon Watcher,40,32,31,28,18,0,CDagger,13,-1,50,55,55,50,30,25,53,0,FALSE,0
Frederick,Frederick,Polite Knight,43,35,25,36,14,1,Axe,13,-1,55,60,45,65,25,25,129,0,FALSE,0
CH!Frederick,Frederick,Youth in Service,41,46,28,47,23,1,Axe,13,-1,50,75,50,90,40,5,14,HERO,FALSE,0
SU!Freyja,Freyja,Fleeting Summer,40,39,43,25,20,1,CBeast,0,-1,55,70,70,45,35,20,29,0,FALSE,0
Freyja,Freyja,Lady of Nightmare,40,38,44,24,22,1,GBeast,0,-1,55,65,75,45,35,20,213,0,FALSE,0
SU!Freyr,Freyr,Estival Dreams,41,38,16,38,35,1,RBeast,0,-1,55,60,30,70,60,20,74,0,FALSE,0
Freyr,Freyr,Dream-King,41,46,16,41,35,1,BBeast,0,-1,55,70,30,75,65,10,2,0,FALSE,0
Fuga,Fuga,Force of Gales,42,46,30,45,30,0,Axe,14,-1,55,80,50,70,60,5,38,0,FALSE,0
Gaius,Gaius,Candy Stealer,42,29,36,22,19,0,CDagger,13,-1,55,50,60,40,35,30,82,0,TRUE,0
SU!Gaius,Gaius,Thief Exposed,34,30,37,19,28,0,CBow,13,-1,40,50,65,35,50,30,198,0,FALSE,0
Galle,Galle,Azure Rider,46,38,22,38,28,2,Lance,6,-1,60,65,40,65,50,20,225,0,FALSE,0
Galzus,Galzus,Dark Blade of Od,40,43,41,36,22,0,Sword,5,-1,50,75,70,60,40,15,166,0,FALSE,0
Ganglöt,Ganglöt,Death Anew,40,44,30,38,35,0,Axe,0,-1,50,70,60,70,55,10,75,0,FALSE,0
Gangrel,Gangrel,Plegia's Mad King,45,32,38,24,27,0,CDagger,13,-1,60,60,65,45,45,25,251,0,FALSE,0
Garon,Garon,King of Nohr,43,33,22,33,32,0,RDragon,14,-1,60,55,40,55,55,30,44,0,FALSE,0
Gatekeeper,Gatekeeper,Nothing to Report,41,37,17,40,36,0,BTome,16,-1,50,65,30,70,65,15,234,0,FALSE,0
Gatrie,Gatrie,Armored Amour,47,42,17,44,35,3,Lance,9,-1,65,65,30,75,60,20,250,0,FALSE,0
PI!Geese,Geese,A Life at Sea,46,38,35,32,21,0,Lance,6,-1,60,70,60,55,35,25,4,0,FALSE,0
SP!Genny,Genny,Dressed with Care,35,36,24,14,34,1,Staff,15,-1,45,60,45,25,60,25,79,0,FALSE,0
Genny,Genny,Endearing Ally,32,35,25,21,34,0,Staff,15,-1,35,60,45,40,60,30,134,0,FALSE,0
Geoffrey,Geoffrey,Realm's Protector,40,46,40,29,25,1,Lance,10,-1,50,75,70,50,50,10,192,0,FALSE,0
Gerik,Gerik,Desert Tiger,47,37,36,30,22,0,Axe,8,-1,65,60,60,50,45,25,153,0,FALSE,0
Gerome,Gerome,Masked Rider,45,38,25,34,19,2,Axe,13,-1,60,65,45,60,35,25,136,0,FALSE,0
Gharnef,Gharnef,Dark Pontifex,38,30,34,27,23,0,RTome,1,-1,50,50,55,50,40,30,234,0,FALSE,0
Gilliam,Gilliam,Wall of Silence,47,44,21,48,35,3,Lance,8,-1,60,70,40,80,65,10,186,0,FALSE,0
Ginnungagap,Ginnungagap,Ruler of Nihility,40,47,31,30,32,1,CDagger,0,-1,50,90,50,50,60,5,232,0,FALSE,0
Gonzalez,Gonzalez,Kindly Bandit,50,42,35,33,21,0,Axe,6,-1,70,70,60,55,40,15,162,0,FALSE,0
Gordin,Gordin,Altean Archer,43,31,25,32,17,0,CBow,1,-1,55,55,45,55,30,30,204,0,TRUE,0
Gotoh,Gotoh,White Sage,40,42,14,38,42,0,CTome,1,-1,50,70,25,70,75,10,252,0,FALSE,0
Gray,Gray,Wry Comrade,43,35,32,30,22,0,Sword,15,-1,60,65,60,55,45,30,224,0,FALSE,0
Gregor,Gregor,Swell Sword,40,44,37,43,23,0,Sword,13,-1,50,70,60,80,45,10,240,0,FALSE,0
V!Greil,Greil,Heroic Exemplar,47,41,18,38,30,3,Axe,9,-1,55,70,30,65,55,25,129,0,FALSE,0
Guinivere,Guinivere,Princess of Bern,36,35,40,16,38,0,BTome,6,-1,45,60,70,30,65,20,20,0,FALSE,0
L!Guinivere,Guinivere,Queen of Bern,37,39,45,16,40,0,CTome,6,-1,50,70,75,30,65,10,240,0,FALSE,0
Gullveig,Gullveig,Golden Seer,37,45,47,27,18,1,CTome,0,-1,50,70,75,50,35,25,22,0,FALSE,0
B!Gullveig,Gullveig,Seer Beyond Time,40,45,47,27,19,2,BTome,0,-1,55,70,80,55,35,5,74,0,FALSE,0
SU!Gunnthrá,Gunnthrá,Beaming Smile,39,33,37,17,24,1,CDagger,0,-1,50,60,60,30,45,25,109,0,FALSE,0
Gunnthrá,Gunnthrá,Voice of Dreams,37,31,33,19,25,1,GTome,0,-1,50,55,55,30,45,25,249,0,FALSE,0
NY!Gunnthrá,Gunnthrá,Year's First Dream,38,34,37,27,26,2,Sword,0,-1,50,60,60,45,50,25,123,0,FALSE,0
Gunter,Gunter,Inveterate Soldier,43,32,24,33,18,1,Axe,14,-1,50,50,40,50,30,25,225,0,FALSE,0
V!Gustav,Gustav,Majestic Love,49,41,18,46,31,3,Axe,0,-1,65,70,30,75,55,20,83,0,FALSE,0
FA!Gustav,Gustav,Sovereign Slain,40,41,25,38,30,1,Axe,0,-1,50,70,50,65,50,15,137,0,FALSE,0
Guy,Guy,Kutolah Blade,44,37,43,33,25,0,Sword,7,-1,55,65,75,55,45,15,241,0,FALSE,0
Gwendolyn,Gwendolyn,Adorable Knight,49,30,24,38,28,3,Lance,6,-1,60,50,45,60,50,25,10,0,FALSE,0
Haar,Haar,Black Tempest,45,37,25,36,18,2,Axe,10,-1,65,65,45,60,30,25,22,0,FALSE,0
NI!Haar,Haar,Tempest Runner,44,42,24,44,28,2,Sword,10,-1,60,70,45,70,55,10,40,0,FALSE,0
NI!Hana,Hana,Focused Ninja,42,36,40,28,30,0,Axe,14,-1,55,65,70,45,50,20,108,0,FALSE,0
Hana,Hana,Focused Samurai,37,35,36,23,26,0,Sword,14,-1,45,60,60,40,50,25,90,0,TRUE,0
V!Hana,Hana,Striving Heart,40,42,46,41,27,3,Sword,14,-1,50,75,75,70,45,10,80,0,FALSE,0
Hans,Hans,Ambitious Brute,46,45,39,35,21,0,Axe,14,-1,60,70,70,65,40,10,249,0,FALSE,0
Hapi,Hapi,Drawn-Out Sigh,40,42,26,16,39,1,BTome,16,-1,50,70,50,30,70,15,3,0,FALSE,0
FA!Hardin,Hardin,Dark Emperor,45,34,28,36,32,3,Lance,1,-1,50,60,50,60,55,25,49,0,FALSE,0
Hardin,Hardin,The Coyote,41,41,44,32,21,1,Lance,1,-1,55,70,75,60,35,10,136,0,FALSE,0
Harken,Harken,Troubled Warrior,41,46,32,46,27,0,Sword,7,-1,50,90,60,70,45,5,207,0,FALSE,0
Hawkeye,Hawkeye,Desert Guardian,45,33,22,28,30,0,Axe,7,-1,55,55,40,50,55,25,108,0,FALSE,0
DE!Hawkeye,Hawkeye,Taciturn Guardian,45,47,22,41,38,0,Lance,7,-1,55,80,35,75,70,5,133,HERO,FALSE,0
Hayato,Hayato,Diviner of Reppu,39,43,45,24,31,0,RTome,14,-1,50,70,90,40,50,5,154,HERO,FALSE,0
Heath,Heath,Wandering Knight,40,35,33,33,27,2,Lance,7,-1,50,60,60,50,50,25,39,0,FALSE,0
NI!Heath,Heath,Wyvern Ninja,42,43,23,40,30,2,CBow,7,-1,55,70,40,75,55,10,249,0,FALSE,0
NI!Heather,Heather,Wandering Ninja,41,42,47,27,30,0,GDagger,10,-1,55,70,90,45,50,5,252,0,FALSE,0
B!Hector,Hector,Brave Warrior,48,37,22,39,28,3,Lance,7,-1,55,60,40,70,50,25,58,0,TRUE,0
H!Hector,Hector,Dressed-Up Duo,47,41,26,39,27,3,Axe,7,-1,55,70,50,60,50,25,170,0,FALSE,0
Hector,Hector,General of Ostia,52,36,24,37,19,3,Axe,7,-1,65,60,45,60,35,25,154,0,TRUE,0
V!Hector,Hector,Just Here to Fight,50,38,21,40,24,3,Axe,7,-1,60,70,40,65,40,25,144,0,FALSE,0
L!Hector,Hector,Marquess of Ostia,47,40,23,38,26,3,Axe,7,-1,55,70,40,60,50,25,118,0,FALSE,0
CH!Hector,Hector,Sworn Friend,44,45,16,47,41,3,Axe,7,-1,60,80,30,75,70,10,103,0,FALSE,0
Heiðr,Heiðr,Innocent Goddess,38,45,45,29,20,0,GTome,0,-1,50,70,80,55,35,10,130,0,FALSE,0
Hel,Hel,Death Sovereign,40,38,41,30,18,2,Axe,0,-1,50,65,70,50,35,25,79,0,FALSE,0
Helbindi,Helbindi,Savage Scourge,44,35,18,35,31,0,Axe,0,-1,60,60,30,60,55,30,191,0,FALSE,0
SU!Helbindi,Helbindi,Seaside Scourge,44,36,18,37,33,0,Sword,0,-1,60,60,30,70,55,25,199,0,FALSE,0
V!Henriette,Henriette,Overflowing Love,42,40,18,35,40,3,RTome,0,-1,50,75,30,55,70,20,124,0,FALSE,0
H!Henry,Henry,Happy Vampire,36,33,34,26,36,3,GTome,13,-1,45,55,55,50,55,25,205,0,FALSE,0
SP!Henry,Henry,Peculiar Egg,41,37,27,40,23,1,CBow,13,-1,50,65,50,70,45,15,227,0,FALSE,0
Henry,Henry,Twisted Mind,45,23,22,32,25,0,RTome,13,-1,60,40,40,55,45,30,17,0,FALSE,0
Hestia,Hestia,Duma's Witch,40,45,31,23,43,0,BTome,15,-1,50,80,55,45,70,5,247,0,FALSE,0
SU!TH!Hilda,Hilda,Deer's Two-Piece,39,37,40,20,25,2,Staff,16,-1,50,65,70,35,45,20,237,0,FALSE,0
A!TH!Hilda,Hilda,Helping Hand,42,42,43,34,26,0,Axe,16,-1,55,70,70,60,50,10,25,0,FALSE,0
WI!TH!Hilda,Hilda,Holiday Layabout,44,39,38,37,26,3,Lance,16,-1,55,70,65,60,45,20,54,0,FALSE,0
TH!Hilda,Hilda,Idle Maiden,43,37,37,28,23,0,Axe,16,-1,55,60,60,55,45,25,221,0,FALSE,0
G!Hilda,Hilda,Queen of Friege,41,40,25,24,40,0,RTome,4,-1,55,70,40,45,70,15,89,0,FALSE,0
BR!Hinata,Hinata,Samurai Groom,47,37,27,40,21,0,Axe,14,-1,65,65,50,65,35,25,43,0,FALSE,0
Hinata,Hinata,Wild Samurai,47,32,24,36,18,0,Sword,14,-1,60,55,45,60,35,25,251,0,FALSE,0
P!Hinoka,Hinoka,Blue Sky Warrior,37,32,35,17,29,2,CBow,14,-1,45,60,60,30,50,25,221,0,FALSE,0
